Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
HCLTECH_901-990,165.0,281.85,297.0,152.0,164.35,174813074.0,Symmetrical Triangle,2003-08-18,2003-12-19
HCLTECH_991-1080,285.55,279.25,345.0,233.55,281.85,95946608.0,Triple Bottom Reversal,2003-12-22,2004-05-03
HCLTECH_1081-1170,280.0,325.4,349.0,245.45,279.25,67956813.0,Ascending Triangle,2004-05-04,2004-09-06
HCLTECH_1171-1260,326.0,314.95,407.0,307.5,325.4,56840771.0,Double Top,2004-09-07,2005-01-13
HCLTECH_1351-1440,364.6,455.25,497.65,353.0,364.6,32342867.0,Ascending Triangle,2005-05-26,2005-09-30
HCLTECH_1441-1530,455.0,624.3,649.4,402.25,455.25,58575223.0,Inverse Head and Shoulders,2005-10-03,2006-02-13
HCLTECH_1531-1620,626.0,475.4,708.0,358.3,624.3,47577848.0,Double Top,2006-02-14,2006-06-23
HCLTECH_1621-1710,485.0,622.35,642.0,448.45,475.4,38066217.0,Ascending Triangle,2006-06-25,2006-10-31
HCLTECH_1801-1890,640.0,321.4,640.0,254.7,641.15,91186489.0,Descending Triangle,2007-03-14,2007-07-23
HCLTECH_1891-1980,322.5,305.15,336.8,244.3,321.4,94303880.0,Symmetrical Triangle,2007-07-24,2007-11-28
HCLTECH_1981-2070,305.15,239.0,335.5,185.05,305.15,70724152.0,Symmetrical Triangle,2007-11-29,2008-04-09
HCLTECH_2251-2340,121.3,160.3,190.8,86.65,126.15,133969000.0,Inverse Head and Shoulders,2009-01-06,2009-05-26
HCLTECH_2341-2430,163.9,336.4,352.2,162.25,160.3,136869072.0,Triple Bottom Reversal,2009-05-27,2009-10-01
HCLTECH_2431-2520,332.0,361.4,388.9,275.0,336.4,111416301.0,Symmetrical Triangle,2009-10-05,2010-02-15
HCLTECH_2701-2790,407.8,454.9,517.15,367.7,407.8,84775329.0,Double Top,2010-11-02,2011-03-11
HCLTECH_2881-2970,495.0,416.8,521.85,360.0,499.6,112930518.0,Descending Triangle,2011-07-21,2011-12-02
HCLTECH_3061-3150,479.8,557.35,559.95,453.25,494.4,98316712.0,Triple Bottom Reversal,2012-04-13,2012-08-17
HCLTECH_3331-3420,776.5,1028.8,1081.85,716.65,772.65,110360784.0,Triple Bottom Reversal,2013-05-13,2013-09-18
HCLTECH_3421-3510,1029.0,1412.45,1458.55,996.1,1028.8,112912102.0,Triple Bottom Reversal,2013-09-19,2014-01-28
HCLTECH_3691-3780,1491.05,2065.7,2074.9,1415.0,1496.75,91256397.0,Triple Bottom Reversal,2014-10-28,2015-03-09
HCLTECH_4051-4140,843.0,772.25,862.5,706.4,839.3,221592901.0,Symmetrical Triangle,2016-04-12,2016-08-22
HCLTECH_4141-4230,776.0,828.5,848.7,736.0,772.25,145331739.0,Triple Bottom Reversal,2016-08-23,2017-01-02
HCLTECH_4411-4500,880.0,984.9,1040.7,824.85,884.45,147009479.0,Triple Bottom Reversal,2017-09-25,2018-02-01
HCLTECH_4591-4680,936.95,966.6,1125.05,899.1,936.95,209023895.0,Double Top,2018-06-15,2018-10-26
HCLTECH_4771-4860,1029.4,1015.6,1187.6,1000.05,1034.55,173757469.0,Head and Shoulders,2019-03-08,2019-07-19
HCLTECH_5041-5130,470.0,705.7,729.0,447.85,459.75,532263014.0,Ascending Triangle,2020-04-17,2020-08-24
HCLTECH_5131-5220,705.0,946.15,950.0,682.4,705.7,827057702.0,Triple Bottom Reversal,2020-08-25,2020-12-31
HDFC_91-180,465.0,500.0,582.25,452.3,460.4,11647354.0,Ascending Triangle,2000-05-16,2000-09-20
HDFC_271-360,585.0,662.05,702.0,511.0,582.2,9281041.0,Triple Bottom Reversal,2001-01-30,2001-06-08
HDFC_451-540,672.0,672.4,710.0,617.0,663.7,5060539.0,Ascending Triangle,2001-10-18,2002-02-27
HDFC_631-720,640.0,659.2,674.0,541.85,644.3,4598743.0,Ascending Triangle,2002-07-09,2002-11-18
HDFC_811-900,333.75,431.35,470.0,293.2,333.4,20096095.0,Symmetrical Triangle,2003-03-31,2003-08-06
HDFC_901-990,430.0,610.15,617.0,429.6,431.35,22242592.0,Triple Bottom Reversal,2003-08-07,2003-12-11
HDFC_991-1080,608.0,625.7,700.0,565.0,610.15,22559449.0,Symmetrical Triangle,2003-12-12,2004-04-22
HDFC_1081-1170,625.0,558.7,656.0,450.0,625.7,30290173.0,Descending Triangle,2004-04-23,2004-08-27
HDFC_1351-1440,765.1,966.75,1080.9,750.0,766.35,26322648.0,Ascending Triangle,2005-05-18,2005-09-22
HDFC_1441-1530,973.0,1358.7,1419.7,901.0,966.75,52881940.0,Inverse Head and Shoulders,2005-09-23,2006-02-02
HDFC_1531-1620,1355.0,1059.75,1420.2,962.0,1358.7,46222527.0,Symmetrical Triangle,2006-02-03,2006-06-15
HDFC_1621-1710,1110.0,1450.75,1561.0,998.0,1059.75,30599676.0,Ascending Triangle,2006-06-16,2006-10-20
HDFC_1801-1890,1480.1,1987.55,2046.0,1400.0,1497.2,40161643.0,Inverse Head and Shoulders,2007-03-06,2007-07-13
HDFC_1891-1980,1988.0,2640.4,2899.0,1785.55,1987.55,66196834.0,Symmetrical Triangle,2007-07-16,2007-11-20
HDFC_1981-2070,2650.0,2361.95,3262.0,2125.0,2640.4,61959553.0,Head and Shoulders,2007-11-21,2008-04-01
HDFC_2251-2340,1440.0,2374.2,2500.0,1119.0,1449.05,150772636.0,Inverse Head and Shoulders,2008-12-29,2009-05-18
HDFC_2341-2430,2501.0,2666.2,2847.4,2055.5,2374.2,90931019.0,Ascending Triangle,2009-05-19,2009-09-22
HDFC_2431-2520,2675.0,2389.8,2865.7,1949.65,2666.2,67342655.0,Head and Shoulders,2009-09-23,2010-02-05
HDFC_2611-2700,2925.0,691.95,3145.0,595.25,2932.75,185094425.0,Symmetrical Triangle,2010-06-18,2010-10-22
HDFC_2791-2880,679.65,689.75,737.9,617.35,672.1,228470249.0,Cup and Handle,2011-03-04,2011-07-12
HDFC_3061-3150,687.0,721.6,725.0,610.5,683.15,210559743.0,Ascending Triangle,2012-04-03,2012-08-08
HDFC_3151-3240,722.1,831.0,882.3,631.25,721.6,341009693.0,Ascending Triangle,2012-08-09,2012-12-20
HDFC_3241-3330,829.5,854.9,885.4,750.0,831.0,213905028.0,Triple Bottom Reversal,2012-12-21,2013-05-03
HDFC_3331-3420,858.0,809.15,931.4,632.2,854.9,337124480.0,Symmetrical Triangle,2013-05-06,2013-09-10
HDFC_3511-3600,838.0,912.75,956.45,755.0,834.8,287433424.0,Ascending Triangle,2014-01-21,2014-06-03
HDFC_3601-3690,918.0,981.3,1151.4,891.0,912.75,259549856.0,Head and Shoulders,2014-06-04,2014-10-16
HDFC_3691-3780,983.0,1347.4,1374.2,978.35,981.3,222210508.0,Ascending Triangle,2014-10-17,2015-02-27
HDFC_3781-3870,1361.45,1285.3,1402.3,1147.0,1347.4,260003614.0,Cup and Handle,2015-02-28,2015-07-09
HDFC_4141-4230,1354.0,1224.85,1464.0,1183.15,1348.45,225297222.0,Descending Triangle,2016-08-12,2016-12-23
HDFC_4231-4320,1220.0,1529.5,1591.85,1197.25,1224.85,223703258.0,Triple Bottom Reversal,2016-12-26,2017-05-08
HDFC_4321-4410,1537.9,1771.8,1802.0,1503.45,1529.5,244566014.0,Ascending Triangle,2017-05-09,2017-09-14
HDFC_4411-4500,1761.1,1884.65,1924.35,1638.0,1771.8,244795703.0,Triple Bottom Reversal,2017-09-15,2018-01-23
HDFC_4771-4860,1868.0,2261.9,2300.7,1820.0,1853.65,283295678.0,Ascending Triangle,2019-02-27,2019-07-11
HDFC_4861-4950,2270.0,2304.65,2357.85,1951.25,2261.9,367754958.0,Cup and Handle,2019-07-12,2019-11-26
HDFC_5131-5220,1805.0,2403.65,2509.0,1623.0,1791.7,434151358.0,Inverse Head and Shoulders,2020-08-17,2020-12-22
HDFCBANK_91-180,257.0,225.05,285.0,197.0,257.1,11202200.0,Symmetrical Triangle,2000-05-16,2000-09-20
HDFCBANK_181-270,225.0,245.3,259.5,210.0,225.05,14868322.0,Triple Bottom Reversal,2000-09-21,2001-01-29
HDFCBANK_271-360,245.0,231.5,279.0,210.55,245.3,11502289.0,Head and Shoulders,2001-01-30,2001-06-08
HDFCBANK_451-540,222.15,236.9,255.0,214.0,225.25,8185650.0,Ascending Triangle,2001-10-18,2002-02-27
HDFCBANK_541-630,239.1,209.7,244.9,199.75,236.9,7108172.0,Head and Shoulders,2002-02-28,2002-07-08
HDFCBANK_631-720,212.3,193.75,226.0,186.0,209.7,6296207.0,Head and Shoulders,2002-07-09,2002-11-18
HDFCBANK_901-990,275.8,350.45,352.0,235.05,276.6,30579407.0,Ascending Triangle,2003-08-07,2003-12-11
HDFCBANK_1171-1260,370.0,500.05,531.0,365.55,369.5,35500337.0,Ascending Triangle,2004-08-30,2005-01-05
HDFCBANK_1261-1350,500.05,536.8,632.25,448.0,500.05,28716436.0,Head and Shoulders,2005-01-06,2005-05-17
HDFCBANK_1351-1440,536.9,691.8,765.0,528.5,536.8,33343958.0,Triple Bottom Reversal,2005-05-18,2005-09-22
HDFCBANK_1531-1620,734.0,697.7,895.0,615.2,739.5,48843813.0,Head and Shoulders,2006-02-03,2006-06-15
HDFCBANK_1621-1710,710.0,960.15,1064.95,680.0,697.7,36179974.0,Symmetrical Triangle,2006-06-16,2006-10-20
HDFCBANK_1711-1800,975.0,928.05,1160.0,883.55,960.15,46605184.0,Double Top,2006-10-21,2007-03-05
HDFCBANK_1801-1890,929.0,1226.4,1240.0,885.5,928.05,57172199.0,Triple Bottom Reversal,2007-03-06,2007-07-13
HDFCBANK_1891-1980,1230.0,1630.3,1799.8,1051.2,1226.4,48087452.0,Symmetrical Triangle,2007-07-16,2007-11-20
HDFCBANK_2341-2430,1392.0,1546.35,1584.0,1206.3,1378.1,107437355.0,Triple Bottom Reversal,2009-05-19,2009-09-22
HDFCBANK_2431-2520,1555.0,1573.35,1839.0,1531.5,1546.35,73119782.0,Double Top,2009-09-23,2010-02-05
HDFCBANK_2791-2880,2210.0,2479.75,2583.3,2130.0,2193.15,69048327.0,Triple Bottom Reversal,2011-03-04,2011-07-12
HDFCBANK_2881-2970,2490.0,429.65,2528.95,411.3,2479.75,310856615.0,Descending Triangle,2011-07-13,2011-11-24
